amount,avg_amount,max_amount,amount_ratio,amount_std,amount_zscore,is_new_location,is_new_device,impossible_travel,transactions_last_10min,transactions_last_1hr,transactions_last_24hr,transactions_last_7d,amount_last_1hr,amount_last_24hr,unique_merchants_last_24hr,num_unique_devices_30d,device_first_seen_days,is_unknown_device_type,is_high_risk_merchant,merchant_fraud_rate,amount_vs_merchant_avg,merchant_category_risk,is_high_risk_location,hour_of_day,is_night,is_weekend,day_of_week,time_since_last_txn_hours,is_round_amount,is_fraud
3490.66,6579.5,244350.0,0.53,0.0,0.0,1,1,0,1,1,1,1,3490.66,3490.66,1,1,0,0,0,0.0,1.39,0.1,0,18,0,1,6,24.0,0,False
2892.18,6579.5,244350.0,0.44,0.0,0.0,1,1,0,1,1,1,1,2892.18,2892.18,1,1,0,0,0,0.0,1.12,0.3,0,18,0,1,6,24.0,0,False
4895.66,6579.5,244350.0,0.74,0.0,0.0,1,1,0,1,1,1,1,4895.66,4895.66,1,1,0,0,0,0.0,1.92,0.3,0,18,0,1,6,24.0,0,False
3053.78,6579.5,244350.0,0.46,0.0,0.0,1,1,0,1,1,1,1,3053.78,3053.78,1,1,0,0,0,0.0,1.2,0.3,0,18,0,1,6,24.0,0,False
3510.32,6579.5,244350.0,0.53,0.0,0.0,1,1,0,1,1,1,1,3510.32,3510.32,1,1,0,0,0,0.0,1.35,0.1,0,18,0,1,6,24.0,0,False
1652.63,6579.5,244350.0,0.25,0.0,0.0,1,1,0,1,1,1,1,1652.63,1652.63,1,1,0,0,0,0.0,0.64,0.1,0,18,0,1,6,24.0,0,False
2371.91,6579.5,244350.0,0.36,0.0,0.0,1,1,0,1,1,1,1,2371.91,2371.91,1,1,0,0,0,0.0,1.01,0.1,0,18,0,1,6,24.0,0,False
1426.69,1652.63,1652.63,0.86,0.0,0.0,0,0,0,1,1,1,1,1652.63,1652.63,1,1,0,0,0,0.0,0.55,0.1,0,18,0,1,6,0.0,0,False
461.2,6579.5,244350.0,0.07,0.0,0.0,1,1,0,1,1,1,1,461.2,461.2,1,1,0,0,0,0.0,0.19,0.1,0,18,0,1,6,24.0,0,False
4295.54,6579.5,244350.0,0.65,0.0,0.0,1,1,0,1,1,1,1,4295.54,4295.54,1,1,0,0,0,0.0,1.77,0.1,0,18,0,1,6,24.0,0,False
4656.62,6579.5,244350.0,0.71,0.0,0.0,1,1,0,1,1,1,1,4656.62,4656.62,1,1,0,0,0,0.0,1.86,0.5,0,18,0,1,6,24.0,0,False
1562.38,6579.5,244350.0,0.24,0.0,0.0,1,1,0,1,1,1,1,1562.38,1562.38,1,1,0,0,0,0.0,0.64,0.1,0,18,0,1,6,24.0,0,False
1468.08,6579.5,244350.0,0.22,0.0,0.0,1,1,0,1,1,1,1,1468.08,1468.08,1,1,0,0,0,0.0,0.6,0.1,0,18,0,1,6,24.0,0,False
2720.37,6579.5,244350.0,0.41,0.0,0.0,1,1,0,1,1,1,1,2720.37,2720.37,1,1,0,0,0,0.0,1.08,0.1,0,18,0,1,6,24.0,0,False
3466.26,6579.5,244350.0,0.53,0.0,0.0,1,1,0,1,1,1,1,3466.26,3466.26,1,1,0,0,0,0.0,1.37,0.1,0,18,0,1,6,24.0,0,False
2627.92,6579.5,244350.0,0.4,0.0,0.0,1,1,0,1,1,1,1,2627.92,2627.92,1,1,0,0,0,0.0,1.0,0.1,0,18,0,1,6,24.0,0,False
4653.53,4656.62,4656.62,1.0,0.0,0.0,0,0,0,1,1,1,1,4656.62,4656.62,1,1,0,0,0,0.0,1.86,0.5,0,18,0,1,6,0.0,0,False
962.36,6579.5,244350.0,0.15,0.0,0.0,1,1,0,1,1,1,1,962.36,962.36,1,1,0,0,0,0.0,0.38,0.1,0,18,0,1,6,24.0,0,False
28840.0,6579.5,244350.0,4.38,0.0,0.0,1,1,0,1,1,1,1,28840.0,28840.0,1,1,0,1,1,1.0,0.34,1.0,1,18,0,1,6,24.0,0,True
2665.24,6579.5,244350.0,0.41,0.0,0.0,1,1,0,1,1,1,1,2665.24,2665.24,1,1,0,0,0,0.0,1.04,0.3,0,18,0,1,6,24.0,0,False
3583.8,6579.5,244350.0,0.54,0.0,0.0,1,1,0,1,1,1,1,3583.8,3583.8,1,1,0,0,0,0.0,1.43,0.1,0,18,0,1,6,24.0,0,False
4274.24,2892.18,2892.18,1.48,0.0,0.0,0,0,0,1,1,1,1,2892.18,2892.18,1,1,0,0,0,0.0,1.79,0.1,0,18,0,1,6,0.0,0,False
786.18,6579.5,244350.0,0.12,0.0,0.0,1,1,0,1,1,1,1,786.18,786.18,1,1,0,0,0,0.0,0.31,0.3,0,18,0,1,6,24.0,0,False
1129.56,6579.5,244350.0,0.17,0.0,0.0,1,1,0,1,1,1,1,1129.56,1129.56,1,1,0,0,0,0.0,0.46,0.1,0,18,0,1,6,24.0,0,False
585.57,6579.5,244350.0,0.09,0.0,0.0,1,1,0,1,1,1,1,585.57,585.57,1,1,0,0,0,0.0,0.23,0.1,0,18,0,1,6,24.0,0,False
4006.63,6579.5,244350.0,0.61,0.0,0.0,1,1,0,1,1,1,1,4006.63,4006.63,1,1,0,0,0,0.0,1.65,0.1,0,18,0,1,6,24.0,0,False
1504.74,6579.5,244350.0,0.23,0.0,0.0,1,1,0,1,1,1,1,1504.74,1504.74,1,1,0,0,0,0.0,0.62,0.1,0,18,0,1,6,24.0,0,False
1212.71,1468.08,1468.08,0.83,0.0,0.0,0,0,0,1,1,1,1,1468.08,1468.08,1,1,0,0,0,0.0,0.5,0.1,0,18,0,1,6,0.0,0,False
4072.42,6579.5,244350.0,0.62,0.0,0.0,1,1,0,1,1,1,1,4072.42,4072.42,1,1,0,0,0,0.0,1.66,0.1,0,18,0,1,6,24.0,0,False
